ID;Source;Target;weight;Jahr
1;397;568;1;1543
2;403;518;1;1543
3;412;574;1;1543
4;436;570;1;1543
5;439;569;1;1543
6;443;568;1;1543
7;454;571;1;1543
8;456;518;1;1543
9;457;568;1;1543
10;458;574;1;1543
11;461;565;1;1543
12;461;568;1;1543
13;467;574;1;1543
14;479;568;1;1543
15;481;568;1;1543
16;493;574;1;1543
17;515;559;1;1543
18;516;559;1;1543
19;522;568;1;1543
20;524;574;1;1543
21;536;574;1;1543
22;541;574;1;1543
23;542;574;1;1543
24;550;558;2;1543
25;553;571;1;1543
26;407;568;1;1545
27;428;566;1;1545
28;429;566;1;1545
29;439;569;1;1545
30;456;518;1;1545
31;515;559;1;1545
32;516;559;1;1545
33;533;568;1;1545
34;550;558;1;1545
35;444;574;2;1556
36;493;574;1;1556
37;544;558;1;1556
38;437;569;1;1560
39;461;565;1;1560
40;481;568;1;1560
41;504;559;1;1560
42;516;559;1;1560
43;517;559;1;1560
44;391;518;1;1568
45;394;518;1;1568
46;413;568;2;1568
47;414;574;1;1568
48;415;562;1;1568
49;416;560;1;1568
50;417;556;1;1568
51;418;556;1;1568
52;426;518;1;1568
53;427;518;1;1568
54;430;569;1;1568
55;437;569;1;1568
56;438;566;1;1568
57;441;518;1;1568
58;445;556;1;1568
59;454;571;1;1568
60;461;565;1;1568
61;463;554;1;1568
62;476;564;1;1568
63;477;564;1;1568
64;482;574;1;1568
65;484;554;1;1568
66;485;518;1;1568
67;496;568;1;1568
68;512;556;1;1568
69;517;559;1;1568
70;527;556;1;1568
71;529;560;1;1568
72;534;518;1;1568
73;548;558;1;1568
74;552;571;1;1568
75;395;556;1;1569
76;403;518;1;1569
77;404;560;1;1569
78;407;568;1;1569
79;411;409;1;1569
80;413;568;3;1569
81;414;568;1;1569
82;417;556;1;1569
83;419;574;1;1569
84;420;560;1;1569
85;426;518;1;1569
86;428;566;1;1569
87;430;569;1;1569
88;436;570;1;1569
89;437;569;1;1569
90;439;569;1;1569
91;441;518;1;1569
92;441;568;1;1569
93;450;571;1;1569
94;452;568;1;1569
95;454;571;1;1569
96;459;565;1;1569
97;460;574;1;1569
98;461;565;1;1569
99;462;568;1;1569
100;463;554;1;1569
101;464;561;1;1569
102;465;561;1;1569
103;467;574;1;1569
104;469;568;1;1569
105;476;564;1;1569
106;477;564;1;1569
107;479;568;1;1569
108;484;554;1;1569
109;488;486;1;1569
110;494;559;1;1569
111;498;568;1;1569
112;508;559;1;1569
113;517;559;1;1569
114;523;565;1;1569
115;527;556;1;1569
116;533;568;1;1569
117;538;574;1;1569
118;543;571;1;1569
119;548;558;1;1569
120;552;571;1;1569
121;553;571;1;1569
122;403;518;2;1570
123;404;560;1;1570
124;412;574;2;1570
125;414;568;1;1570
126;416;560;1;1570
127;417;556;2;1570
128;428;566;1;1570
129;429;566;1;1570
130;433;569;1;1570
131;435;569;1;1570
132;436;570;1;1570
133;439;569;1;1570
134;441;568;1;1570
135;451;574;1;1570
136;452;568;1;1570
137;458;571;1;1570
138;458;574;2;1570
139;458;421;1;1570
140;461;565;1;1570
141;461;568;1;1570
142;462;568;1;1570
143;470;574;1;1570
144;478;573;1;1570
145;480;480;1;1570
146;487;486;1;1570
147;488;486;1;1570
148;489;486;1;1570
149;493;574;1;1570
150;510;559;1;1570
151;517;559;1;1570
152;518;518;1;1570
153;523;565;2;1570
154;523;572;1;1570
155;527;556;1;1570
156;530;518;1;1570
157;532;559;1;1570
158;536;574;1;1570
159;538;574;1;1570
160;541;574;1;1570
161;542;574;1;1570
162;546;573;1;1570
163;547;558;1;1570
164;551;574;1;1570
165;518;518;1;1574
166;521;575;1;1574
167;395;556;1;1576
168;399;554;2;1576
169;404;560;2;1576
170;405;568;2;1576
171;406;575;2;1576
172;413;568;4;1576
173;414;568;1;1576
174;416;560;1;1576
175;417;556;2;1576
176;420;560;2;1576
177;423;575;1;1576
178;426;518;1;1576
179;427;518;1;1576
180;430;569;1;1576
181;435;569;1;1576
182;440;562;2;1576
183;441;518;2;1576
184;452;568;1;1576
185;458;574;1;1576
186;460;574;1;1576
187;465;561;2;1576
188;469;568;1;1576
189;474;564;2;1576
190;479;568;1;1576
191;488;486;2;1576
192;492;565;1;1576
193;493;574;1;1576
194;494;559;2;1576
195;496;568;1;1576
196;500;559;1;1576
197;503;559;2;1576
198;510;559;2;1576
199;517;559;1;1576
200;524;574;1;1576
201;532;559;1;1576
202;533;568;1;1576
203;534;518;2;1576
204;541;574;2;1576
205;542;574;1;1576
206;544;558;1;1576
207;548;558;2;1576
208;553;571;1;1576
209;395;556;2;1577
210;398;554;1;1577
211;399;554;2;1577
212;403;409;1;1577
213;403;518;1;1577
214;406;575;1;1577
215;409;409;1;1577
216;417;556;1;1577
217;420;560;1;1577
218;427;518;1;1577
219;428;566;1;1577
220;433;569;1;1577
221;436;570;1;1577
222;437;569;1;1577
223;441;518;1;1577
224;443;568;1;1577
225;464;561;1;1577
226;484;554;1;1577
227;485;518;1;1577
228;488;486;1;1577
229;494;559;1;1577
230;502;559;1;1577
231;503;559;1;1577
232;505;559;1;1577
233;510;559;1;1577
234;511;556;1;1577
235;516;559;1;1577
236;517;559;1;1577
237;523;565;2;1577
238;525;562;1;1577
239;529;560;1;1577
240;532;559;1;1577
241;533;568;1;1577
242;534;518;1;1577
243;539;562;1;1577
244;544;558;2;1577
245;548;558;1;1577
246;552;571;1;1577
247;391;518;1;1582
248;395;556;1;1582
249;398;554;1;1582
250;406;575;1;1582
251;409;409;1;1582
252;411;409;1;1582
253;411;518;1;1582
254;413;568;1;1582
255;414;568;1;1582
256;414;574;1;1582
257;417;556;1;1582
258;428;566;1;1582
259;429;566;1;1582
260;430;569;1;1582
261;436;570;1;1582
262;437;569;2;1582
263;442;573;1;1582
264;445;556;1;1582
265;452;568;1;1582
266;453;574;1;1582
267;455;573;1;1582
268;458;573;1;1582
269;459;565;1;1582
270;461;565;1;1582
271;461;568;1;1582
272;462;568;1;1582
273;474;564;1;1582
274;481;568;1;1582
275;492;565;1;1582
276;494;559;1;1582
277;504;559;1;1582
278;507;559;2;1582
279;516;559;1;1582
280;520;559;1;1582
281;534;518;1;1582
282;548;558;1;1582
283;550;558;2;1582
284;392;518;1;1583
285;394;518;1;1583
286;395;556;1;1583
287;403;518;1;1583
288;413;568;2;1583
289;417;556;1;1583
290;420;560;1;1583
291;426;518;1;1583
292;428;566;1;1583
293;436;570;1;1583
294;437;569;1;1583
295;440;562;1;1583
296;455;573;2;1583
297;466;562;1;1583
298;477;564;1;1583
299;478;554;1;1583
300;484;554;1;1583
301;490;486;1;1583
302;495;561;1;1583
303;509;559;1;1583
304;515;559;1;1583
305;521;573;1;1583
306;523;565;1;1583
307;525;562;1;1583
308;527;556;1;1583
309;528;556;1;1583
310;529;560;1;1583
311;532;559;1;1583
312;539;562;1;1583
313;548;558;1;1583
314;391;518;7;1584
315;393;518;7;1584
316;394;518;7;1584
317;395;556;9;1584
318;397;568;3;1584
319;398;554;2;1584
320;399;554;2;1584
321;400;554;2;1584
322;401;556;1;1584
323;402;518;1;1584
324;403;409;2;1584
325;403;518;1;1584
326;404;560;12;1584
327;405;568;2;1584
328;406;575;6;1584
329;407;568;2;1584
330;408;568;1;1584
331;409;409;2;1584
332;410;409;1;1584
333;411;409;8;1584
334;411;518;1;1584
335;412;574;1;1584
336;413;568;17;1584
337;414;568;1;1584
338;414;574;2;1584
339;417;556;18;1584
340;418;556;1;1584
341;419;574;2;1584
342;420;560;13;1584
343;422;571;1;1584
344;424;568;1;1584
345;425;562;1;1584
346;426;518;5;1584
347;427;518;3;1584
348;428;566;12;1584
349;430;569;2;1584
350;431;570;2;1584
351;432;569;4;1584
352;433;569;4;1584
353;434;569;1;1584
354;435;569;2;1584
355;436;570;10;1584
356;437;569;13;1584
357;440;562;5;1584
358;441;518;5;1584
359;441;568;11;1584
360;442;573;4;1584
361;444;574;1;1584
362;445;556;5;1584
363;446;562;7;1584
364;450;571;2;1584
365;451;574;1;1584
366;452;568;6;1584
367;454;571;2;1584
368;455;573;1;1584
369;456;518;2;1584
370;457;568;3;1584
371;458;573;4;1584
372;458;574;1;1584
373;458;575;2;1584
374;459;565;12;1584
375;460;574;1;1584
376;461;518;1;1584
377;461;565;16;1584
378;461;568;6;1584
379;462;568;1;1584
380;463;554;4;1584
381;464;561;5;1584
382;465;561;4;1584
383;466;562;1;1584
384;467;574;3;1584
385;468;574;1;1584
386;472;564;3;1584
387;473;564;17;1584
388;474;564;6;1584
389;475;564;3;1584
390;476;564;2;1584
391;478;554;12;1584
392;478;573;1;1584
393;480;480;1;1584
394;481;568;11;1584
395;482;574;1;1584
396;483;574;2;1584
397;484;554;7;1584
398;486;486;1;1584
399;488;486;5;1584
400;489;486;3;1584
401;490;486;5;1584
402;491;486;1;1584
403;492;565;17;1584
404;493;574;1;1584
405;494;559;15;1584
406;497;568;5;1584
407;498;568;5;1584
408;499;559;2;1584
409;501;559;2;1584
410;503;559;7;1584
411;504;559;1;1584
412;505;559;1;1584
413;506;559;2;1584
414;507;559;10;1584
415;508;559;7;1584
416;510;559;6;1584
417;513;518;1;1584
418;514;518;1;1584
419;515;559;5;1584
420;516;559;8;1584
421;517;559;8;1584
422;519;409;1;1584
423;520;559;1;1584
424;521;574;1;1584
425;522;565;2;1584
426;522;568;1;1584
427;523;565;8;1584
428;524;574;1;1584
429;525;562;2;1584
430;526;573;5;1584
431;527;556;5;1584
432;528;556;1;1584
433;529;560;2;1584
434;530;518;1;1584
435;532;559;27;1584
436;533;568;9;1584
437;534;518;7;1584
438;535;574;1;1584
439;536;574;1;1584
440;538;574;2;1584
441;539;562;11;1584
442;539;567;1;1584
443;540;568;3;1584
444;541;574;3;1584
445;544;558;5;1584
446;547;558;3;1584
447;548;558;6;1584
448;549;558;1;1584
449;550;558;11;1584
450;552;571;5;1584
451;553;571;3;1584
452;391;518;2;1586
453;392;518;1;1586
454;394;518;1;1586
455;395;556;1;1586
456;396;421;1;1586
457;400;554;1;1586
458;404;560;2;1586
459;405;568;1;1586
460;406;575;4;1586
461;409;409;1;1586
462;411;518;5;1586
463;413;568;2;1586
464;417;556;1;1586
465;418;556;1;1586
466;420;560;2;1586
467;421;421;3;1586
468;422;571;1;1586
469;426;409;2;1586
470;426;518;3;1586
471;427;518;2;1586
472;436;570;1;1586
473;437;569;3;1586
474;439;569;1;1586
475;441;518;1;1586
476;442;573;1;1586
477;444;574;1;1586
478;445;556;1;1586
479;446;562;1;1586
480;447;564;1;1586
481;448;571;2;1586
482;449;480;1;1586
483;450;571;2;1586
484;451;574;1;1586
485;452;568;2;1586
486;453;574;1;1586
487;458;573;1;1586
488;458;574;5;1586
489;458;575;2;1586
490;459;565;4;1586
491;461;565;8;1586
492;461;568;2;1586
493;463;554;1;1586
494;466;562;1;1586
495;470;574;1;1586
496;471;574;2;1586
497;472;564;1;1586
498;473;564;3;1586
499;475;564;1;1586
500;477;564;3;1586
501;478;554;2;1586
502;478;573;1;1586
503;481;568;1;1586
504;484;554;2;1586
505;484;573;1;1586
506;484;575;1;1586
507;486;486;1;1586
508;488;486;1;1586
509;489;486;1;1586
510;492;565;3;1586
511;494;559;3;1586
512;495;561;1;1586
513;496;568;1;1586
514;499;559;5;1586
515;503;559;3;1586
516;507;559;2;1586
517;508;559;3;1586
518;510;559;2;1586
519;514;518;1;1586
520;515;559;3;1586
521;516;559;1;1586
522;517;559;1;1586
523;518;518;4;1586
524;521;573;1;1586
525;521;574;4;1586
526;522;568;2;1586
527;523;565;4;1586
528;525;562;1;1586
529;531;421;2;1586
530;532;559;7;1586
531;533;568;1;1586
532;534;518;4;1586
533;537;574;1;1586
534;538;574;3;1586
535;539;562;2;1586
536;541;574;1;1586
537;542;574;1;1586
538;544;558;6;1586
539;544;574;1;1586
540;545;518;1;1586
541;545;575;1;1586
542;545;578;1;1586
543;548;558;3;1586
544;550;558;1;1586
545;518;584;2;1543
546;558;585;2;1543
547;559;586;2;1543
548;565;588;1;1543
549;568;589;7;1543
